id,chID1,chID2,Neuron1,Neuron2,Dist_x,Dist_y,chID1_spikes,chID2_spikes,PS_yes,PS_event,PS_DeltaT,PS_HZ,PS_others,PS_Ratio,PS_pvalue,CI_yes,SC_yes,SC_event,SC_DeltaT_bin,SC_DeltaT_bin_height,SC_DeltaT_m,SC_DeltaT_fq,SC_HZ,SC_Ratio,lambda,probability
186,H9,F11,H9,F11,2,2,729,1161,1,325,0.2,1.806,217,0.243,7.38E-109,0,0,469,0,392,0.2,421,2.606,0.643,33,8.78E-268
187,D7,E5,D7,E5,1,2,1131,802,1,319,0.6,1.772,172,0.237,5.80E-161,0,0,411,0,334,0.6,390,2.283,0.363,32,2.13E-211
188,C8,A8,C8,A8,2,0,603,860,1,317,0.5,1.761,108,0.501,1.75E-271,0,0,392,0,329,0.5,349,2.178,0.65,16,1.98E-298
189,D11,C9,D11,C9,1,2,1015,2054,1,315,0.35,1.75,496,0.207,5.50E-116,0,0,708,0,434,0.35,530,3.933,0.698,65,5.51E-200
190,E5,E4,E5,E4,0,1,802,3212,1,296,0.15,1.644,462,0.254,4.43E-128,0,0,580,0,383,0.15,516,3.222,0.723,83,2.21E-126
191,D7,E7,D7,E7,1,0,1131,1747,1,294,0.3,1.633,443,0.225,2.24E-147,0,0,606,0,387,0.3,522,3.367,0.536,60,1.24E-173
192,C8,B10,C8,B10,1,2,603,449,1,292,0.6,1.622,29,0.3,6.84E-126,0,0,294,0,294,0.6,294,1.633,0.488,11,5.80E-299
193,K10,G11,K10,G11,3,1,1176,2279,1,292,0.4,1.622,643,0.231,3.43E-161,0,0,817,0,393,0.4,539,4.539,0.695,84,1.78E-131
194,C8,D8,C8,D8,1,0,603,2336,1,288,0.5,1.6,354,0.33,9.24E-146,0,0,634,0,326,0.5,416,3.522,1.051,33,2.32E-199
195,H9,J10,H9,J10,1,1,729,1276,1,285,0.25,1.583,232,0.302,1.05E-153,0,0,479,0,334,0.25,409,2.661,0.657,33,2.29E-207
196,J11,G6,J11,G6,2,5,396,2268,1,282,0.25,1.567,128,0.657,1.23E-261,0,0,294,0,294,0.25,335,1.633,0.742,32,1.05E-171
197,D11,E3,D11,E3,1,8,1015,1617,1,281,0.05,1.561,155,0.242,1.43E-150,0,0,304,0,304,0.05,339,1.689,0.3,45,4.94E-142
198,F9,F8,F9,F8,0,1,802,1643,1,275,0.1,1.528,325,0.217,8.67E-99,0,0,498,0,372,0.1,451,2.767,0.621,53,1.29E-178
199,D5,E6,D5,E6,1,1,752,1378,1,273,0.2,1.517,270,0.316,1.32E-173,0,0,503,0,336,0.2,408,2.794,0.669,43,4.37E-175
200,E5,F4,E5,F4,1,1,802,1738,1,273,0.15,1.517,378,0.304,4.51E-170,0,0,612,0,353,0.15,446,3.4,0.763,43,1.84E-190
201,C8,C10,C8,C10,0,2,603,2272,1,266,0.6,1.478,375,0.254,1.48E-96,0,0,629,0,290,0.55,393,3.494,1.043,37,9.73E-152
202,C8,B8,C8,B8,1,0,603,318,1,256,0.05,1.422,54,0.332,6.93E-147,0,0,309,0,256,0.05,288,1.717,0.512,9,2.88E-267
203,J4,H4,J4,H4,1,0,647,1189,1,256,0.05,1.422,113,0.221,5.08E-83,0,0,273,0,273,0.05,304,1.517,0.422,48,1.23E-110
204,H9,H7,H9,H7,0,2,729,2323,1,250,0.3,1.389,442,0.2,2.75E-79,0,0,590,0,474,0.25,501,3.278,0.809,47,1.02E-292
205,H9,H10,H9,H10,0,1,729,1507,1,244,0.05,1.356,316,0.258,6.12E-120,0,0,476,0,291,0,410,2.644,0.653,42,8.88E-139
