id,chID1,chID2,Neuron1,Neuron2,Dist_x,Dist_y,chID1_spikes,chID2_spikes,PS_yes,PS_event,PS_DeltaT,PS_HZ,PS_others,PS_Ratio,PS_pvalue,CI_yes,SC_yes,SC_event,SC_DeltaT_bin,SC_DeltaT_bin_height,SC_DeltaT_m,SC_DeltaT_fq,SC_HZ,SC_Ratio,lambda,probability
26,M8,L4,M8,L4,1,4,2854,2677,1,1143,0.8,6.35,587,0.326,0,0,0,1654,0,1218,0.8,1365,9.189,0.58,154,0
27,K6,L4,K6,L4,1,2,2433,2677,1,1139,0.7,6.328,474,0.411,0,0,0,1413,0,1207,0.7,1335,7.85,0.581,133,0
28,D4,A5,D4,A5,3,1,2155,1523,1,1134,0.05,6.3,163,0.521,0,0,0,1156,0,1156,0.05,1188,6.422,0.536,113,0
29,B5,D4,B5,D4,2,1,1965,2155,1,1127,0.05,6.261,230,0.291,0,0,0,1163,0,1163,0.05,1205,6.461,0.592,143,0
30,B6,A6,B6,A6,1,0,1470,2903,1,1124,0.15,6.244,307,0.569,0,0,0,1162,0,1162,0.15,1233,6.456,0.79,112,0
31,C4,D4,C4,D4,1,0,2404,2155,1,1101,0.05,6.117,496,0.277,0,0,0,1367,0,1165,0.05,1351,7.594,0.569,166,0
32,K2,J2,K2,J2,1,0,1789,2214,1,1098,0.2,6.1,606,0.389,0,0,0,1604,0,1202,0.2,1360,8.911,0.897,112,0
33,C4,E4,C4,E4,2,0,2404,3212,1,1091,0.2,6.061,773,0.404,0,0,0,1439,0,1168,0.2,1433,7.994,0.599,226,0
34,M7,J6,M7,J6,3,1,1759,2296,1,1081,0.2,6.006,409,0.382,0,0,0,1390,0,1226,0.2,1293,7.722,0.79,81,0
35,J7,H6,J7,H6,1,1,2133,2080,1,1080,0.3,6,815,0.413,0,0,0,1759,0,1234,0.3,1436,9.772,0.825,125,0
36,K2,L3,K2,L3,1,1,1789,2013,1,1071,0.3,5.95,518,0.565,0,0,0,1643,0,1094,0.3,1320,9.128,0.918,94,0
37,M7,K6,M7,K6,2,1,1759,2433,1,1063,0.1,5.906,557,0.541,0,0,0,1513,0,1343,0.1,1397,8.406,0.86,91,0
38,H7,H6,H7,H6,0,1,2323,2080,1,1051,0.2,5.839,924,0.313,0,0,0,1859,0,1492,0.2,1538,10.328,0.8,122,0
39,B4,A5,B4,A5,1,1,1588,1523,1,1038,0.15,5.767,172,0.501,0,0,0,1113,0,1113,0.15,1104,6.183,0.701,94,0
40,D8,A6,D8,A6,3,2,2336,2903,1,1035,0.55,5.75,794,0.33,0,0,0,1665,0,1222,0.55,1379,9.25,0.713,172,0
41,F3,E3,F3,E3,1,0,2230,1617,1,1030,0.15,5.722,431,0.372,0,0,0,1379,0,1101,0.15,1181,7.661,0.618,100,0
42,M8,L6,M8,L6,1,2,2854,1448,1,1020,0.2,5.667,395,0.26,0,0,0,1136,0,1136,0.2,1188,6.311,0.398,84,0
43,J9,L7,J9,L7,2,2,2135,2250,1,1006,0.35,5.589,1003,0.237,2.90E-305,0,0,1831,0,1167,0.35,1441,10.172,0.858,110,0
44,J9,H7,J9,H7,1,2,2135,2323,1,1002,0.5,5.567,631,0.38,0,0,0,1530,0,1158,0.5,1259,8.5,0.717,122,0
45,M8,M6,M8,M6,0,2,2854,3295,1,1001,0.25,5.561,1259,0.294,0,0,0,2097,0,1382,0.2,1633,11.65,0.735,175,0
46,J6,M6,J6,M6,3,0,2296,3295,1,984,0.05,5.467,788,0.385,0,0,0,1613,0,1212,0.05,1340,8.961,0.703,140,0
47,F4,F3,F4,F3,0,1,1738,2230,1,978,0.15,5.433,586,0.436,0,0,0,1564,0,1056,0.15,1292,8.689,0.9,109,0
48,F4,E3,F4,E3,1,1,1738,1617,1,977,0.25,5.428,448,0.236,2.83E-248,0,0,1344,0,1096,0.25,1145,7.467,0.773,85,0
49,K6,M6,K6,M6,2,0,2433,3295,1,969,0.1,5.383,861,0.374,0,0,0,1658,0,1186,0.1,1341,9.211,0.681,147,0
50,K8,H6,K8,H6,2,2,1982,2080,1,968,0.5,5.378,766,0.256,3.95252516672997e-323,0,0,1578,0,1222,0.45,1303,8.767,0.796,104,0
51,M7,L4,M7,L4,1,3,1759,2677,1,966,0.8,5.367,275,0.371,0,0,0,1015,0,1015,0.8,1071,5.639,0.577,93,0
52,K6,L6,K6,L6,1,0,2433,1448,1,965,0.1,5.361,348,0.236,0,0,0,1185,0,1064,0.1,1113,6.583,0.487,75,0
53,L6,J6,L6,J6,2,0,1448,2296,1,962,0,5.344,334,0.615,0,0,0,1156,0,955,0,1105,6.422,0.798,72,0
54,J6,L6,J6,L6,2,0,2296,1448,1,953,0,5.294,343,0.348,0,0,0,1245,0,929,0,1105,6.917,0.542,76,0
55,E8,A6,E8,A6,4,2,2951,2903,1,952,0.4,5.289,787,0.262,0,0,0,1654,0,1126,0.4,1312,9.189,0.56,214,0
56,G2,H2,G2,H2,1,0,1130,1660,1,949,0.15,5.272,165,0.493,0,0,0,983,0,983,0.15,1012,5.461,0.87,67,0
57,K8,L7,K8,L7,1,1,1982,2250,1,948,0.15,5.267,842,0.367,0,0,0,1584,0,1053,0.1,1373,8.8,0.799,102,0
58,L4,L5,L4,L5,0,1,2677,1903,1,934,0.25,5.189,750,0.21,4.25694508011131e-313,0,0,1445,0,1018,0.25,1264,8.028,0.54,128,0
59,D8,E8,D8,E8,1,0,2336,2951,1,926,0.15,5.144,805,0.291,0,0,0,1434,0,1196,0.15,1322,7.967,0.614,163,0
60,J9,H6,J9,H6,1,3,2135,2080,1,925,0.7,5.139,824,0.289,0,0,0,1612,0,1211,0.7,1312,8.956,0.755,118,0
61,D8,B6,D8,B6,2,2,2336,1470,1,917,0.4,5.094,392,0.325,0,0,0,1028,0,1028,0.4,1098,5.711,0.44,86,0
62,C10,C9,C10,C9,0,1,2272,2054,1,909,0.15,5.05,870,0.293,0,0,0,1812,0,1098,0.15,1366,10.067,0.798,142,0
63,E8,B6,E8,B6,3,2,2951,1470,1,907,0.25,5.039,307,0.298,0,0,0,950,0,950,0.25,1020,5.278,0.322,115,0
64,J9,J7,J9,J7,0,2,2135,2133,1,902,0.45,5.011,880,0.369,0,0,0,1691,0,1201,0.4,1336,9.394,0.792,125,0
65,K8,H7,K8,H7,2,1,1982,2323,1,889,0.25,4.939,739,0.308,0,0,0,1472,0,1041,0.25,1236,8.178,0.743,113,0
66,L6,L4,L6,L4,0,2,1448,2677,1,877,0.6,4.872,246,0.581,0,0,0,907,0,907,0.6,977,5.039,0.626,79,0
67,M7,L6,M7,L6,1,1,1759,1448,1,877,0.2,4.872,171,0.26,1.06E-291,0,0,931,0,931,0.2,941,5.172,0.529,52,0
68,M7,M6,M7,M6,0,1,1759,3295,1,864,0.2,4.8,603,0.441,0,0,0,1246,0,1013,0.2,1132,6.922,0.708,117,0
69,J7,H7,J7,H7,1,0,2133,2323,1,858,0.1,4.767,946,0.218,1.62E-264,0,0,1657,0,1034,0.1,1298,9.206,0.777,132,0
70,L7,H6,L7,H6,3,1,2250,2080,1,840,0.35,4.667,777,0.275,0,0,0,1450,0,1079,0.35,1182,8.056,0.644,108,0
71,M4,L5,M4,L5,1,1,3051,1903,1,827,0.1,4.594,601,0.213,0,0,0,1151,0,988,0.1,1092,6.394,0.377,132,0
72,L6,M6,L6,M6,1,0,1448,3295,1,826,0.05,4.589,433,0.49,0,0,0,1091,0,927,0.05,1016,6.061,0.753,92,0
73,C5,B4,C5,B4,1,1,1458,1588,1,813,0.1,4.517,174,0.554,0,0,0,1022,0,847,0.1,891,5.678,0.701,93,0
74,J2,L3,J2,L3,2,1,2214,2013,1,810,0.1,4.5,809,0.334,0,0,0,1334,0,945,0.1,1217,7.411,0.603,123,0
75,C4,C3,C4,C3,0,1,2404,1643,1,801,0.15,4.45,717,0.205,1.78E-268,0,0,1443,0,1021,0.15,1139,8.017,0.6,126,0
76,H10,G8,H10,G8,1,2,1507,1134,1,793,0.25,4.406,194,0.503,0,0,0,842,0,842,0.25,878,4.678,0.559,78,0
77,H10,F10,H10,F10,2,0,1507,1823,1,791,0.35,4.394,426,0.264,3.27E-256,0,0,939,0,939,0.35,1001,5.217,0.623,104,0
78,L4,K3,L4,K3,1,1,2677,1264,1,789,0.25,4.383,392,0.247,0,0,0,1018,0,866,0.25,954,5.656,0.38,96,0
79,J6,H4,J6,H4,1,2,2296,1189,1,787,0.2,4.372,284,0.318,0,0,0,941,0,821,0.2,886,5.228,0.41,83,0
80,B4,E4,B4,E4,3,0,1588,3212,1,776,0.25,4.311,400,0.462,0,0,0,842,0,842,0.25,946,4.678,0.53,143,0
81,B4,D4,B4,D4,2,0,1588,2155,1,769,0.1,4.272,255,0.44,0,0,0,835,0,835,0.1,889,4.639,0.526,115,0
82,G10,F11,G10,F11,1,1,2111,1161,1,765,0.35,4.25,456,0.208,2.63E-244,0,0,1044,0,921,0.35,966,5.8,0.495,77,0
83,H7,G6,H7,G6,1,1,2323,2268,1,751,0.3,4.172,786,0.269,0,0,0,1442,0,909,0.3,1067,8.011,0.621,146,0
84,L8,M9,L8,M9,1,1,1679,4602,1,751,0.35,4.172,1182,0.351,0,0,0,1763,0,1038,0.35,1227,9.794,1.05,143,0
85,L7,J7,L7,J7,2,0,2250,2133,1,745,0.05,4.139,897,0.228,4.87E-300,0,0,1512,0,1181,0.05,1239,8.4,0.672,111,0
86,H10,G10,H10,G10,1,0,1507,2111,1,745,0.1,4.139,676,0.412,0,0,0,1214,0,800,0.1,1105,6.744,0.806,115,0
87,L7,H7,L7,H7,3,0,2250,2323,1,740,0.15,4.111,818,0.264,0,0,0,1398,0,1022,0.15,1117,7.767,0.621,107,0
88,K3,L5,K3,L5,1,2,1264,1903,1,737,0,4.094,322,0.57,0,0,0,925,0,816,0,864,5.139,0.732,79,0
